original,0
A Georgian inscription around the drum attests his name.,A writing around the drum confirms his name.
"They would later return to the revived series in the 2008 Christmas Special ""The Next Doctor"", introducing two new variants of the race; the Cyber-Shades and the Cyber-King.","They would return to the new series in the 2008 Special ""The Next Doctor"". There were two new variants; Cyber-Shades and the Cyber-King."
"Jameson's autobiography, How to Make Love Like a Porn Star: A Cautionary Tale was published August 17, 2004.","Jameson's autobiography was published on August 17, 2004"
It is particularly famous for the cultivation of kiwifruit.,It is famous for the cultivation of kiwi fruit.
"Singles competition (2002 – 2003) After years in the tag team division, Hardy took on The Undertaker in a ladder match for the Undisputed Championship.","After years in the tag team division, Hardy took on The Undertaker in a ladder match for the Undisputed Championship."
"Many of the churches work together for town-wide projects under the banner of ""Churches Together in Stevenage"".","Many of the churches assist each other on town-wide projects under the banner of ""Churches Together in Stevenage""."
Word processing templates enable the ability to bypass the initial setup and configuration time necessary to create standardized documents such as a resume.,Word processing templates allow people to bypass the initial setup and configuration time necessary to create standardized documents such as a resume.
Rollins retired in 1962 and opted to become a coach.,Rollins retired in 1962 and become a coach.
"History Landsberg prison, which is in the town's western outskirts, was completed in 1910.",Landsberg prison is in the west of the town. It was completed in 1910.
A hunting dog refers to any dog who assists humans in hunting.,A hunting dog is a dog who helps humans in hunting.
"The Empire of Nicaea succeeded in capturing Constantinople and the rest of the Latin Empire, thus re-establishing the Byzantine Empire.",The Empire of Nicaea captured Constantinople and Latin Empire. By doing so it re-establishing the Byzantine Empire.
"This led scientists to re-examine the old photos again, and the satellite was finally found in the images.","This led scientists to re-examine the old photos, and the satellite was found in the pictures."
"Marcel Junod (1904 - 1961), a physician from Geneva, was another famous delegate during the Second World War.",Marcel Junod was a physician from Geneva. He was a famous delegate during the Second World War.
"Whisenhunt's career as a player included 4 years (1985 - 88) as a tight end with the Atlanta Falcons, who drafted him in the twelfth round, and then spells with the Washington Redskins and New York Jets.",Whisenhunt's career as a player included 4 years (1985 - 88) as a tight end with the Atlanta Falcons.  Then there were short term stints with the Washington Redskins and New York Jets.
"In return, Romania ceded three southern districts of Bessarabia to Russia and acquired Dobruja.",Romania ceded three southern districts of Bessarabia to Russia and acquired Dobruja.
